ID,Year,Month,DayofMonth,DepTime,CRSDepTime,ArrTime,CRSArrTime,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance
69,2008,1,3,1221,1220,1328,1330,3312,N685SW,67,70,54,-2,1,JAX,FLL,318
70,2008,1,3,1738,1730,1841,1840,3948,N467WN,63,70,49,1,8,JAX,FLL,318
71,2008,1,3,1813,1735,1936,1905,54,N643SW,143,150,125,31,38,JAX,HOU,816
72,2008,1,3,802,750,1001,955,2272,N263WN,119,125,104,6,12,JAX,IND,688
73,2008,1,3,1820,1825,1946,1955,549,N363SW,86,90,75,-9,-5,JAX,ORF,543
74,2008,1,3,821,820,953,945,3604,N257WN,92,85,80,8,1,JAX,ORF,543
75,2008,1,3,1734,1650,1941,1905,23,N521SW,127,135,113,36,44,JAX,PHL,742
76,2008,1,3,712,700,926,915,1232,N663SW,134,135,120,11,12,JAX,PHL,742
77,2008,1,3,1318,1310,1410,1400,977,N376SW,52,50,39,10,8,JAX,TPA,180
78,2008,1,3,958,900,1052,950,1574,N791SW,54,50,36,62,58,JAX,TPA,180
79,2008,1,3,1859,1850,1950,1945,2019,N392SW,51,55,38,5,9,JAX,TPA,180
80,2008,1,3,1538,1445,1753,1710,500,N799SW,75,85,60,43,53,LAS,ABQ,487
81,2008,1,3,933,935,1151,1200,778,N607SW,78,85,63,-9,-2,LAS,ABQ,487
82,2008,1,3,2248,2125,102,2345,890,N618WN,74,80,60,77,83,LAS,ABQ,487
83,2008,1,3,1327,1230,1550,1500,1171,N682SW,83,90,65,50,57,LAS,ABQ,487
84,2008,1,3,624,625,846,850,1320,N456WN,82,85,61,-4,-1,LAS,ABQ,487
85,2008,1,3,1614,1600,1833,1825,1925,N509SW,79,85,60,8,14,LAS,ABQ,487
86,2008,1,3,1917,1915,2136,2140,2457,N293,79,85,60,-4,2,LAS,ABQ,487
87,2008,1,3,1832,1655,148,30,302,N473WN,256,275,243,78,97,LAS,ALB,2237
88,2008,1,3,1229,1155,1633,1555,1079,N351SW,124,120,91,38,34,LAS,AMA,758
89,2008,1,3,1256,1240,1724,1720,155,N238WN,148,160,131,4,16,LAS,AUS,1090
90,2008,1,3,2118,2015,144,50,2021,N499WN,146,155,127,54,63,LAS,AUS,1090
91,2008,1,3,905,850,1334,1330,3222,N309SW,149,160,135,4,15,LAS,AUS,1090
92,2008,1,3,1739,1640,114,25,1018,N245WN,275,285,253,49,59,LAS,BDL,2298
93,2008,1,3,906,905,1426,1430,3948,N467WN,200,205,183,-4,1,LAS,BHM,1618
94,2008,1,3,816,815,1339,1340,249,N256WN,203,205,185,-1,1,LAS,BNA,1588
95,2008,1,3,1325,1240,1841,1810,419,N275WN,196,210,178,31,45,LAS,BNA,1588
96,2008,1,3,1506,1440,2030,2010,2032,N271WN,204,210,183,20,26,LAS,BNA,1588
97,2008,1,3,2039,1930,155,55,3940,N434WN,196,205,177,60,69,LAS,BNA,1588
98,2008,1,3,924,920,1209,1210,71,N312SW,105,110,84,-1,4,LAS,BOI,520
99,2008,1,3,1611,1535,1849,1825,538,N619SW,98,110,73,24,36,LAS,BOI,520
100,2008,1,3,1824,1715,117,25,2383,N290WN,233,250,221,52,69,LAS,BUF,1987
101,2008,1,3,826,825,930,925,136,N493WN,64,60,46,5,1,LAS,BUR,223
102,2008,1,3,2118,2015,2224,2115,219,N383SW,66,60,46,69,63,LAS,BUR,223
103,2008,1,3,1818,1740,1916,1840,391,N608SW,58,60,46,36,38,LAS,BUR,223
104,2008,1,3,650,650,748,750,670,N777QC,58,60,47,-2,0,LAS,BUR,223
105,2008,1,3,2146,2055,2250,2155,815,N626SW,64,60,48,55,51,LAS,BUR,223
106,2008,1,3,2241,1910,2340,2010,1072,N369SW,59,60,43,210,211,LAS,BUR,223
107,2008,1,3,1409,1355,1513,1500,1328,N396SW,64,65,50,13,14,LAS,BUR,223
108,2008,1,3,1100,1050,1157,1155,1586,N293,57,65,46,2,10,LAS,BUR,223
109,2008,1,3,1306,1250,1406,1355,1838,N509SW,60,65,47,11,16,LAS,BUR,223
110,2008,1,3,1726,1630,1832,1740,2284,N409WN,66,70,46,52,56,LAS,BUR,223
111,2008,1,3,915,915,1017,1020,2699,N278WN,62,65,46,-3,0,LAS,BUR,223
112,2008,1,3,1229,1220,1342,1325,2874,N695SW,73,65,47,17,9,LAS,BUR,223
113,2008,1,3,1459,1455,1556,1555,3237,N284WN,57,60,42,1,4,LAS,BUR,223
114,2008,1,3,908,845,1628,1610,1774,N220WN,260,265,244,18,23,LAS,BWI,2106
115,2008,1,3,1817,1730,122,50,2632,N784SW,245,260,230,32,47,LAS,BWI,2106
116,2008,1,3,1248,1245,2009,2015,3759,N463WN,261,270,243,-6,3,LAS,BWI,2106
117,2008,1,3,956,945,1658,1645,818,N244WN,242,240,213,13,11,LAS,CLE,1825
118,2008,1,3,1849,1740,121,30,564,N455WN,212,230,195,51,69,LAS,CMH,1772
119,2008,1,3,1210,1200,1905,1850,991,N297WN,235,230,201,15,10,LAS,CMH,1772
120,2008,1,3,701,700,941,955,85,N688SW,100,115,84,-14,1,LAS,DEN,629
121,2008,1,3,1047,1030,1328,1320,157,N481WN,101,110,79,8,17,LAS,DEN,629
122,2008,1,3,2232,2115,108,5,632,N203WN,96,110,77,63,77,LAS,DEN,629
123,2008,1,3,1512,1315,1802,1610,706,N491WN,110,115,88,112,117,LAS,DEN,629
124,2008,1,3,2025,1955,2301,2245,908,N480WN,96,110,78,16,30,LAS,DEN,629
125,2008,1,3,1439,1425,1720,1720,1582,N318SW,101,115,85,0,14,LAS,DEN,629
126,2008,1,3,1627,1600,1916,1900,2907,N647SW,109,120,80,16,27,LAS,DEN,629
127,2008,1,3,1745,1710,2017,1945,2192,N313SW,92,95,78,32,35,LAS,ELP,584
128,2008,1,3,1049,1040,1320,1320,2280,N352SW,91,100,73,0,9,LAS,ELP,584
129,2008,1,3,1117,1050,1325,1325,1636,N321SW,128,155,116,0,27,LAS,GEG,806
130,2008,1,3,1725,1620,1940,1850,2803,N660SW,135,150,116,50,65,LAS,GEG,806
131,2008,1,3,1824,1735,2303,2230,719,N414WN,159,175,143,33,49,LAS,HOU,1235
132,2008,1,3,1150,1140,1644,1640,1776,N408WN,174,180,147,4,10,LAS,HOU,1235
133,2008,1,3,749,740,1227,1235,3244,N475WN,158,175,146,-8,9,LAS,HOU,1235
134,2008,1,3,2051,2010,134,55,3746,N321SW,163,165,150,39,41,LAS,HOU,1235
135,2008,1,3,1555,1525,2307,2245,1027,N230WN,252,260,232,22,30,LAS,IAD,2066
136,2008,1,3,2255,1820,509,55,1924,N761RR,194,215,176,254,275,LAS,IND,1591
137,2008,1,3,1129,1050,1757,1725,3920,N464WN,208,215,179,32,39,LAS,IND,1591
138,2008,1,3,1602,1510,2357,2255,3144,N272WN,295,285,269,62,52,LAS,ISP,2283
139,2008,1,3,1738,1715,1838,1820,82,N499WN,60,65,42,18,23,LAS,LAX,236
140,2008,1,3,2207,2150,2306,2255,135,N244WN,59,65,40,11,17,LAS,LAX,236
141,2008,1,3,1851,1825,2004,1930,317,N335SW,73,65,41,34,26,LAS,LAX,236
142,2008,1,3,701,645,802,745,337,N488WN,61,60,42,17,16,LAS,LAX,236
143,2008,1,3,1556,1455,1704,1600,354,N496WN,68,65,41,64,61,LAS,LAX,236
144,2008,1,3,1254,1250,1404,1355,784,N401WN,70,65,43,9,4,LAS,LAX,236
145,2008,1,3,840,840,946,945,790,N351SW,66,65,43,1,0,LAS,LAX,236
146,2008,1,3,1540,1525,1648,1630,1061,N422WN,68,65,47,18,15,LAS,LAX,236
147,2008,1,3,750,750,901,855,1653,N288WN,71,65,52,6,0,LAS,LAX,236
148,2008,1,3,1228,1200,1340,1310,1928,N792SW,72,70,43,30,28,LAS,LAX,236
149,2008,1,3,2047,2005,2209,2115,2367,N352SW,82,70,45,54,42,LAS,LAX,236
150,2008,1,3,2158,2120,2303,2225,2896,N335SW,65,65,44,38,38,LAS,LAX,236
151,2008,1,3,1028,1025,1132,1135,3655,N465WN,64,70,45,-3,3,LAS,LAX,236
152,2008,1,3,1423,1420,1530,1525,3917,N609SW,67,65,44,5,3,LAS,LAX,236
153,2008,1,3,1147,1100,1541,1500,2382,N404WN,114,120,90,41,47,LAS,LBB,775
154,2008,1,3,859,850,1343,1345,565,N787SA,164,175,148,-2,9,LAS,LIT,1295
155,2008,1,3,1140,1110,1537,1510,43,N617SW,117,120,95,27,30,LAS,MAF,796
156,2008,1,3,1226,1210,1721,1700,213,N302SW,175,170,139,21,16,LAS,MCI,1140
157,2008,1,3,2118,2005,154,50,411,N763SW,156,165,131,64,73,LAS,MCI,1140
158,2008,1,3,2003,1905,26,2350,1004,N676SW,143,165,130,36,58,LAS,MCI,1140
159,2008,1,3,1622,1510,2059,2000,1405,N775SW,157,170,130,59,72,LAS,MCI,1140
160,2008,1,3,648,650,1123,1135,2972,N634SW,155,165,137,-12,-2,LAS,MCI,1140
161,2008,1,3,1003,940,1441,1430,3068,N449WN,158,170,136,11,23,LAS,MCI,1140
162,2008,1,3,1319,1300,2033,2025,380,N444WN,254,265,234,8,19,LAS,MCO,2039
163,2008,1,3,1506,1500,2122,2030,74,N764SW,256,210,177,52,6,LAS,MDW,1521
164,2008,1,3,648,645,1205,1210,227,N723SW,197,205,182,-5,3,LAS,MDW,1521
165,2008,1,3,1052,1050,1603,1620,335,N712SW,191,210,175,-17,2,LAS,MDW,1521
166,2008,1,3,1424,1415,1941,1945,396,N407WN,197,210,177,-4,9,LAS,MDW,1521
167,2008,1,3,1211,1145,1750,1720,693,N232WN,219,215,175,30,26,LAS,MDW,1521
168,2008,1,3,814,755,1334,1320,823,N725SW,200,205,181,14,19,LAS,MDW,1521
169,2008,1,3,934,935,1453,1505,830,N436WN,199,210,177,-12,-1,LAS,MDW,1521
170,2008,1,3,1708,1700,2214,2230,1865,N745SW,186,210,169,-16,8,LAS,MDW,1521
171,2008,1,3,1919,1845,31,5,2025,N740SW,192,200,171,26,34,LAS,MDW,1521
172,2008,1,3,1945,1815,52,2335,2450,N405WN,187,200,168,77,90,LAS,MDW,1521
173,2008,1,3,2057,1930,202,50,2794,N468WN,185,200,171,72,87,LAS,MDW,1521
174,2008,1,3,1354,1310,1907,1845,3232,N201LV,193,215,177,22,44,LAS,MDW,1521
175,2008,1,3,1703,1645,33,35,767,N222WN,270,290,257,-2,18,LAS,MHT,2356
176,2008,1,3,1030,1030,1545,1545,762,N295WN,195,195,174,0,0,LAS,MSY,1501
177,2008,1,3,1903,1825,5,2340,3327,N282WN,182,195,166,25,38,LAS,MSY,1501
178,2008,1,3,1108,1110,1244,1240,125,N782SA,96,90,80,4,-2,LAS,OAK,407
179,2008,1,3,NA,700,NA,830,126,,NA,90,NA,NA,NA,LAS,OAK,407
180,2008,1,3,1354,1345,1525,1520,127,N784SW,91,95,74,5,9,LAS,OAK,407
181,2008,1,3,1944,1740,2110,1915,223,N223WN,86,95,72,115,124,LAS,OAK,407
182,2008,1,3,1251,1205,1425,1345,237,N281WN,94,100,76,40,46,LAS,OAK,407
183,2008,1,3,1548,1505,1728,1635,280,N460WN,100,90,78,53,43,LAS,OAK,407
184,2008,1,3,821,820,955,950,864,N640SW,94,90,72,5,1,LAS,OAK,407
185,2008,1,3,2216,2125,2348,2255,900,N679AA,92,90,78,53,51,LAS,OAK,407
186,2008,1,3,2010,1900,2203,2030,962,N378SW,113,90,77,93,70,LAS,OAK,407
187,2008,1,3,1433,1420,1608,1555,1011,N248WN,95,95,79,13,13,LAS,OAK,407
188,2008,1,3,935,925,1106,1055,1258,N774SW,91,90,71,11,10,LAS,OAK,407
189,2008,1,3,2156,2155,2334,2325,1950,N408WN,98,90,83,9,1,LAS,OAK,407
190,2008,1,3,2035,2020,2209,2150,3135,N695SW,94,90,81,19,15,LAS,OAK,407
191,2008,1,3,602,600,733,730,3233,N354SW,91,90,76,3,2,LAS,OAK,407
192,2008,1,3,1152,1145,1616,1605,86,N627SW,144,140,116,11,7,LAS,OKC,987
193,2008,1,3,1435,1315,1859,1755,479,N622SW,144,160,132,64,80,LAS,OMA,1099
194,2008,1,3,2049,1920,106,2355,875,N217JC,137,155,125,71,89,LAS,OMA,1099
195,2008,1,3,913,910,1342,1350,2111,N673AA,149,160,131,-8,3,LAS,OMA,1099
196,2008,1,3,1613,1610,1721,1705,187,N690SW,68,55,38,16,3,LAS,ONT,197
197,2008,1,3,2015,1945,2101,2040,725,N259WN,46,55,34,21,30,LAS,ONT,197
198,2008,1,3,655,655,742,750,731,N244WN,47,55,35,-8,0,LAS,ONT,197
199,2008,1,3,1438,1435,1533,1530,872,N788SA,55,55,33,3,3,LAS,ONT,197
200,2008,1,3,1102,1030,1152,1125,906,N301SW,50,55,36,27,32,LAS,ONT,197
201,2008,1,3,2218,2120,2308,2210,1493,N356SW,50,50,36,58,58,LAS,ONT,197
202,2008,1,3,851,835,938,930,1670,N742SW,47,55,34,8,16,LAS,ONT,197
203,2008,1,3,1230,1215,1331,1310,2018,N313SW,61,55,36,21,15,LAS,ONT,197
204,2008,1,3,1838,1800,1930,1855,2730,N273WN,52,55,32,35,38,LAS,ONT,197
205,2008,1,3,1358,1330,1449,1425,3070,N660SW,51,55,37,24,28,LAS,ONT,197
206,2008,1,3,1757,1655,108,25,156,N466WN,251,270,237,43,62,LAS,ORF,2155
207,2008,1,3,1816,1755,2022,2015,700,N678AA,126,140,112,7,21,LAS,PDX,762
208,2008,1,3,755,755,958,1020,1669,N484WN,123,145,108,-22,0,LAS,PDX,762
209,2008,1,3,1328,1255,1549,1520,2354,N258WN,141,145,106,29,33,LAS,PDX,762
210,2008,1,3,2134,2040,2343,2300,2550,N608SW,129,140,112,43,54,LAS,PDX,762
211,2008,1,3,1127,1045,1856,1835,1285,N435WN,269,290,245,21,42,LAS,PHL,2176
212,2008,1,3,1720,1700,41,45,1843,N484WN,261,285,244,-4,20,LAS,PHL,2176
213,2008,1,3,559,600,800,805,102,N639SW,61,65,43,-5,-1,LAS,PHX,256
214,2008,1,3,712,705,932,915,243,N228WN,80,70,49,17,7,LAS,PHX,256
215,2008,1,3,1327,1320,1533,1530,287,N747SA,66,70,50,3,7,LAS,PHX,256
216,2008,1,3,1817,1810,2016,2015,504,N338SW,59,65,47,1,7,LAS,PHX,256
217,2008,1,3,1807,1740,2011,1950,559,N603SW,64,70,49,21,27,LAS,PHX,256
218,2008,1,3,1712,1545,1914,1750,668,N221WN,62,65,48,84,87,LAS,PHX,256
219,2008,1,3,1206,1205,1418,1415,752,N680AA,72,70,47,3,1,LAS,PHX,256
220,2008,1,3,1134,1110,1343,1315,781,N378SW,69,65,46,28,24,LAS,PHX,256
221,2008,1,3,1003,1005,1208,1215,871,N327SW,65,70,49,-7,-2,LAS,PHX,256
222,2008,1,3,815,820,1034,1025,1034,N420WN,79,65,49,9,-5,LAS,PHX,256
223,2008,1,3,2156,2110,2353,2310,1403,N258WN,57,60,43,43,46,LAS,PHX,256
224,2008,1,3,2140,2040,2334,2240,1682,N281WN,54,60,40,54,60,LAS,PHX,256
225,2008,1,3,631,635,832,840,2103,N291WN,61,65,44,-8,-4,LAS,PHX,256
226,2008,1,3,1521,1450,1725,1655,2726,N777QC,64,65,46,30,31,LAS,PHX,256
227,2008,1,3,2100,1945,2255,2150,2991,N752SW,55,65,43,65,75,LAS,PHX,256
228,2008,1,3,1657,1630,1905,1845,3517,N487WN,68,75,49,20,27,LAS,PHX,256
229,2008,1,3,926,915,1129,1120,3598,N790SW,63,65,44,9,11,LAS,PHX,256
230,2008,1,3,1413,1415,1612,1620,3849,N269WN,59,65,44,-8,-2,LAS,PHX,256
231,2008,1,3,1825,1745,114,50,512,N794SW,229,245,210,24,40,LAS,PIT,1910
232,2008,1,3,927,915,1631,1620,594,N715SW,244,245,218,11,12,LAS,PIT,1910
233,2008,1,3,1630,1600,23,2350,416,N401WN,293,290,266,33,30,LAS,PVD,2363
234,2008,1,3,1136,1120,1852,1840,170,N448WN,256,260,231,12,16,LAS,RDU,2027
235,2008,1,3,1824,1725,121,45,1509,N403WN,237,260,222,36,59,LAS,RDU,2027
236,2008,1,3,1716,1630,1830,1755,239,N267WN,74,85,60,35,46,LAS,RNO,345
237,2008,1,3,1928,1855,2034,2015,298,N450WN,66,80,54,19,33,LAS,RNO,345
238,2008,1,3,709,710,816,830,376,N342SW,67,80,55,-14,-1,LAS,RNO,345
239,2008,1,3,1741,1730,1905,1850,675,N286WN,84,80,57,15,11,LAS,RNO,345
240,2008,1,3,1609,1540,1732,1700,709,N428WN,83,80,55,32,29,LAS,RNO,345
241,2008,1,3,913,840,1029,955,891,N400WN,76,75,61,34,33,LAS,RNO,345
242,2008,1,3,2215,2200,2334,2315,1341,N442WN,79,75,57,19,15,LAS,RNO,345
243,2008,1,3,2137,2040,2251,2155,2273,N286WN,74,75,56,56,57,LAS,RNO,345
244,2008,1,3,624,625,729,740,2538,N230WN,65,75,52,-11,-1,LAS,RNO,345
245,2008,1,3,1100,1020,1210,1145,2719,N466WN,70,85,54,25,40,LAS,RNO,345
246,2008,1,3,1313,1255,1437,1415,3430,N487WN,84,80,57,22,18,LAS,RNO,345
247,2008,1,3,1415,1350,1527,1510,3835,N610WN,72,80,56,17,25,LAS,RNO,345
248,2008,1,3,1108,1110,1221,1230,3947,N277WN,73,80,56,-9,-2,LAS,RNO,345
249,2008,1,3,1348,1330,1455,1435,341,N315SW,67,65,51,20,18,LAS,SAN,258
250,2008,1,3,1221,1220,1329,1325,535,N428WN,68,65,48,4,1,LAS,SAN,258
251,2008,1,3,2140,2050,2240,2150,708,N692SW,60,60,45,50,50,LAS,SAN,258
252,2008,1,3,805,805,909,905,711,N207WN,64,60,45,4,0,LAS,SAN,258
253,2008,1,3,1643,1625,1751,1735,715,N902WN,68,70,46,16,18,LAS,SAN,258
254,2008,1,3,946,940,1045,1045,1037,N734SA,59,65,46,0,6,LAS,SAN,258
255,2008,1,3,1915,1905,2016,2005,1254,N490WN,61,60,44,11,10,LAS,SAN,258
256,2008,1,3,1839,1740,1945,1840,2186,N692SW,66,60,44,65,59,LAS,SAN,258
257,2008,1,3,2207,2125,2307,2225,2211,N646SW,60,60,49,42,42,LAS,SAN,258
258,2008,1,3,1503,1425,1604,1530,2357,N414WN,61,65,48,34,38,LAS,SAN,258
259,2008,1,3,1613,1515,1727,1615,2363,N405WN,74,60,47,72,58,LAS,SAN,258
260,2008,1,3,2248,2155,2346,2255,2449,N454WN,58,60,45,51,53,LAS,SAN,258
261,2008,1,3,612,615,713,715,2712,N253WN,61,60,46,-2,-3,LAS,SAN,258
262,2008,1,3,1118,1110,1225,1215,3423,N298WN,67,65,50,10,8,LAS,SAN,258
263,2008,1,3,1456,1445,1920,1920,120,N277WN,144,155,126,0,11,LAS,SAT,1069
264,2008,1,3,2022,1935,36,5,802,N902WN,134,150,122,31,47,LAS,SAT,1069
265,2008,1,3,1049,1040,1509,1510,2113,N350SW,140,150,127,-1,9,LAS,SAT,1069
266,2008,1,3,753,750,1215,1220,2906,N794SW,142,150,125,-5,3,LAS,SAT,1069
267,2008,1,3,1831,1810,110,45,495,N768SW,219,215,192,25,21,LAS,SDF,1624
268,2008,1,3,1704,1645,1929,1930,340,N634SW,145,165,129,-1,19,LAS,SEA,866
269,2008,1,3,2017,2005,2241,2245,563,N285WN,144,160,129,-4,12,LAS,SEA,866
270,2008,1,3,639,640,859,925,1769,N731SA,140,165,124,-26,-1,LAS,SEA,866
271,2008,1,3,1117,1050,1330,1330,2465,N431WN,133,160,119,0,27,LAS,SEA,866
272,2008,1,3,1426,1355,1605,1530,488,N615SW,99,95,75,35,31,LAS,SFO,414
273,2008,1,3,1009,910,1148,1045,619,N491WN,99,95,76,63,59,LAS,SFO,414
274,2008,1,3,2021,1700,2303,1835,2005,N302SW,162,95,73,268,201,LAS,SFO,414
275,2008,1,3,2025,1905,2208,2040,2788,N602SW,103,95,88,88,80,LAS,SFO,414
276,2008,1,3,603,605,729,740,2886,N246LV,86,95,70,-11,-2,LAS,SFO,414
277,2008,1,3,2301,2105,59,2240,3061,N447WN,118,95,98,139,116,LAS,SFO,414
278,2008,1,3,1518,1215,1646,1350,3575,N492WN,88,95,72,176,183,LAS,SFO,414
279,2008,1,3,1307,1235,1432,1400,12,N361SW,85,85,71,32,32,LAS,SJC,386
280,2008,1,3,615,610,746,730,276,N472WN,91,80,74,16,5,LAS,SJC,386
281,2008,1,3,2017,1945,2144,2105,400,N429WN,87,80,70,39,32,LAS,SJC,386
282,2008,1,3,1855,1855,2028,2020,484,N673AA,93,85,67,8,0,LAS,SJC,386
283,2008,1,3,2114,2040,2241,2200,774,N437WN,87,80,69,41,34,LAS,SJC,386
284,2008,1,3,1605,1520,1739,1645,783,N306SW,94,85,68,54,45,LAS,SJC,386
285,2008,1,3,956,1000,1134,1125,1945,N271WN,98,85,70,9,-4,LAS,SJC,386
286,2008,1,3,731,730,848,855,2387,N776WN,77,85,66,-7,1,LAS,SJC,386
